"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q5_U_SIG_IN8","SOT-23","112.037mm","-58.648mm","112.105mm","-58.859mm","","","T","180","S8050"
"Q5_U_SIG_IN7","SOT-23","102.146mm","-60.505mm","102.214mm","-60.717mm","","","T","180","S8050"
"Q5_U_SIG_IN6","SOT-23","112.052mm","-63.887mm","112.12mm","-64.099mm","","","T","180","S8050"
"Q5_U_SIG_IN5","SOT-23","102.146mm","-65.839mm","102.214mm","-66.051mm","","","T","180","S8050"
"Q5_U_SIG_IN4","SOT-23","112.052mm","-69.221mm","112.12mm","-69.433mm","","","T","180","S8050"
"Q5_U_SIG_IN3","SOT-23","102.146mm","-71.173mm","102.214mm","-71.385mm","","","T","180","S8050"
"Q5_U_SIG_IN2","SOT-23","112.052mm","-74.555mm","112.12mm","-74.766mm","","","T","180","S8050"
"Q5_U_SIG_IN1","SOT-23","102.146mm","-76.507mm","102.214mm","-76.719mm","","","T","180","S8050"
"R9","R 0603","46.33mm","-76.157mm","46.33mm","-76.157mm","47.257mm","-76.157mm","T","180","10K"
"U3","SOIC-8_150mil","87.249mm","-76.521mm","87.249mm","-76.521mm","89.154mm","-73.921mm","T","180","YD3082E"
"U2","SOP-8_150mil","7.957mm","-65.221mm","7.957mm","-65.221mm","9.862mm","-62.621mm","T","180","XL1509-5E1"
"C6","C 0603","51.943mm","-65.265mm","51.943mm","-65.278mm","51.943mm","-64.389mm","T","270","104"
"VR1","SOT-223","28.288mm","-57.225mm","28.288mm","-58.725mm","30.588mm","-55.725mm","T","90","AMS1117-3.3"
"C1","C 0603","26.871mm","-52.968mm","26.858mm","-52.968mm","27.747mm","-52.968mm","T","180","104"
"D7","SMA(DO-214AC)_S1","9.006mm","-35.668mm","9.006mm","-35.668mm","6.906mm","-35.668mm","T","180","SS34"
"V1","LC-TO-252-2","13.528mm","-81.777mm","13.528mm","-84.112mm","11.166mm","-84.112mm","T","270","78Mxx"
"U4","SOIC-16_150mil","80.289mm","-74.689mm","80.289mm","-74.689mm","77.689mm","-70.244mm","T","270","UT3232G-S16-R"
"R22","R 0603","51.562mm","-52.324mm","51.562mm","-52.324mm","51.562mm","-53.251mm","T","90","1K"
"R21","R 0603","28.626mm","-71.616mm","28.626mm","-71.616mm","27.699mm","-71.616mm","T","360","10K"
"R20","R 0603","24.816mm","-71.603mm","24.816mm","-71.603mm","25.743mm","-71.603mm","T","180","1K"
"R18","R 0603","97.941mm","-77.822mm","97.941mm","-77.822mm","97.941mm","-76.895mm","T","270","4.7K"
"R15","0603_R","94.885mm","-78.711mm","94.885mm","-78.711mm","94.115mm","-78.711mm","T","360","120¦¸"
"R13","R 0603","94.885mm","-76.641mm","94.885mm","-76.641mm","93.958mm","-76.641mm","T","360","4.7K"
"R11_U_SIG_IN10","R 0603","115.549mm","-53.599mm","115.549mm","-53.599mm","115.549mm","-54.526mm","T","90","10K"
"R11_U_SIG_IN9","R 0603","105.643mm","-55.551mm","105.643mm","-55.551mm","105.643mm","-56.478mm","T","90","10K"
"R11_U_SIG_IN8","R 0603","115.534mm","-59.028mm","115.534mm","-59.028mm","115.534mm","-59.955mm","T","90","10K"
"R11_U_SIG_IN7","R 0603","105.643mm","-60.885mm","105.643mm","-60.885mm","105.643mm","-61.812mm","T","90","10K"
"R11_U_SIG_IN6","R 0603","115.549mm","-64.267mm","115.549mm","-64.267mm","115.549mm","-65.194mm","T","90","10K"
"R11_U_SIG_IN5","R 0603","105.643mm","-66.219mm","105.643mm","-66.219mm","105.643mm","-67.146mm","T","90","10K"
"R11_U_SIG_IN4","R 0603","115.549mm","-69.601mm","115.549mm","-69.601mm","115.549mm","-70.528mm","T","90","10K"
"R11_U_SIG_IN3","R 0603","105.643mm","-71.553mm","105.643mm","-71.553mm","105.643mm","-72.48mm","T","90","10K"
"R11_U_SIG_IN2","R 0603","115.549mm","-74.935mm","115.549mm","-74.935mm","115.549mm","-75.862mm","T","90","10K"
"R11_U_SIG_IN1","R 0603","105.643mm","-76.887mm","105.643mm","-76.887mm","105.643mm","-77.814mm","T","90","10K"
"R10_U_SIG_IN10","R 0603","117.743mm","-53.599mm","117.743mm","-53.599mm","117.743mm","-52.672mm","T","270","4.7K"
"R10_U_SIG_IN9","R 0603","107.837mm","-55.551mm","107.837mm","-55.551mm","107.837mm","-54.624mm","T","270","4.7K"
"R10_U_SIG_IN8","R 0603","117.728mm","-59.028mm","117.728mm","-59.028mm","117.728mm","-58.1mm","T","270","4.7K"
"R10_U_SIG_IN7","R 0603","107.837mm","-60.885mm","107.837mm","-60.885mm","107.837mm","-59.958mm","T","270","4.7K"
"R10_U_SIG_IN6","R 0603","117.743mm","-64.267mm","117.743mm","-64.267mm","117.743mm","-63.34mm","T","270","4.7K"
"R10_U_SIG_IN5","R 0603","107.837mm","-66.219mm","107.837mm","-66.219mm","107.837mm","-65.292mm","T","270","4.7K"
"R10_U_SIG_IN4","R 0603","117.743mm","-69.601mm","117.743mm","-69.601mm","117.743mm","-68.674mm","T","270","4.7K"
"R10_U_SIG_IN3","R 0603","107.837mm","-71.553mm","107.837mm","-71.553mm","107.837mm","-70.626mm","T","270","4.7K"
"R10_U_SIG_IN2","R 0603","117.743mm","-74.935mm","117.743mm","-74.935mm","117.743mm","-74.008mm","T","270","4.7K"
"R10_U_SIG_IN1","R 0603","107.837mm","-76.887mm","107.837mm","-76.887mm","107.837mm","-75.96mm","T","270","4.7K"
"R7_U_Drive_Y10","R 0603","122.908mm","-44.984mm","122.908mm","-44.984mm","122.908mm","-44.057mm","T","270","10K"
"R7_U_Drive_Y9","R 0603","119.179mm","-26.95mm","119.179mm","-26.95mm","119.179mm","-26.023mm","T","270","10K"
"R7_U_Drive_Y8","R 0603","111.753mm","-44.984mm","111.753mm","-44.984mm","111.753mm","-44.057mm","T","270","10K"
"R7_U_Drive_Y7","R 0603","108.003mm","-26.95mm","108.003mm","-26.95mm","108.003mm","-26.023mm","T","270","10K"
"R7_U_Drive_Y6","R 0603","100.597mm","-44.984mm","100.597mm","-44.984mm","100.597mm","-44.057mm","T","270","10K"
"R7_U_Drive_Y5","R 0603","96.827mm","-26.95mm","96.827mm","-26.95mm","96.827mm","-26.023mm","T","270","10K"
"R7_U_Drive_Y4","R 0603","89.454mm","-44.984mm","89.454mm","-44.984mm","89.454mm","-44.057mm","T","270","10K"
"R7_U_Drive_Y3","R 0603","85.584mm","-26.95mm","85.584mm","-26.95mm","85.584mm","-26.023mm","T","270","10K"
"R7_U_Drive_Y2","R 0603","78.242mm","-44.984mm","78.242mm","-44.984mm","78.242mm","-44.057mm","T","270","10K"
"R7_U_Drive_Y1","R 0603","74.337mm","-26.961mm","74.337mm","-26.961mm","74.337mm","-26.034mm","T","270","10K"
"R6_U_Drive_Y10","R 0603","117.174mm","-44.131mm","117.174mm","-44.131mm","117.174mm","-45.058mm","T","90","1K"
"R6_U_Drive_Y9","R 0603","113.445mm","-26.097mm","113.445mm","-26.097mm","113.445mm","-27.024mm","T","90","1K"
"R6_U_Drive_Y8","R 0603","106.019mm","-44.131mm","106.019mm","-44.131mm","106.019mm","-45.058mm","T","90","1K"
"R6_U_Drive_Y7","R 0603","102.269mm","-26.097mm","102.269mm","-26.097mm","102.269mm","-27.024mm","T","90","1K"
"R6_U_Drive_Y6","R 0603","94.863mm","-44.131mm","94.863mm","-44.131mm","94.863mm","-45.058mm","T","90","1K"
"R6_U_Drive_Y5","R 0603","91.093mm","-26.097mm","91.093mm","-26.097mm","91.093mm","-27.024mm","T","90","1K"
"R6_U_Drive_Y4","R 0603","83.72mm","-44.131mm","83.72mm","-44.131mm","83.72mm","-45.058mm","T","90","1K"
"R6_U_Drive_Y3","R 0603","79.85mm","-26.097mm","79.85mm","-26.097mm","79.85mm","-27.024mm","T","90","1K"
"R6_U_Drive_Y2","R 0603","72.508mm","-44.131mm","72.508mm","-44.131mm","72.508mm","-45.058mm","T","90","1K"
"R6_U_Drive_Y1","R 0603","68.603mm","-26.108mm","68.603mm","-26.108mm","68.603mm","-27.035mm","T","90","1K"
"R5_U_Drive_Y10","R 0603","119.855mm","-47.113mm","119.855mm","-47.113mm","120.782mm","-47.113mm","T","180","10k"
"R5_U_Drive_Y9","R 0603","116.126mm","-29.079mm","116.126mm","-29.079mm","117.053mm","-29.079mm","T","180","10k"
"R5_U_Drive_Y8","R 0603","108.7mm","-47.113mm","108.7mm","-47.113mm","109.627mm","-47.113mm","T","180","10k"
"R5_U_Drive_Y7","R 0603","104.95mm","-29.079mm","104.95mm","-29.079mm","105.877mm","-29.079mm","T","180","10k"
"R5_U_Drive_Y6","R 0603","97.545mm","-47.113mm","97.545mm","-47.113mm","98.472mm","-47.113mm","T","180","10k"
"R5_U_Drive_Y5","R 0603","93.774mm","-29.079mm","93.774mm","-29.079mm","94.701mm","-29.079mm","T","180","10k"
"R5_U_Drive_Y4","R 0603","86.401mm","-47.113mm","86.401mm","-47.113mm","87.328mm","-47.113mm","T","180","10k"
